country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,,Text
AUS,Australia,Kalgoorlie Nickel Smelter,42,-30.8737,121.4842,Non-Renewables,,
AUS,Australia,Kambalda,42,-31.1919,121.6741,Non-Renewables,,
AUS,Australia,Kangaroo Valley (Shoalhaven Scheme),160,-34.723,150.4795,Hydro,,
AUS,Australia,Karadoc Solar Farm,112,-34.4154,142.2521,Solar,,
AUS,Australia,Kareeya,88,-17.767,145.5779,Hydro,,
AUS,Australia,Karratha,86,-20.7626,116.8375,Non-Renewables,,
AUS,Australia,Katherine,34.7,-14.4587,132.2445,Non-Renewables,,
AUS,Australia,Kemerton,260.9,-33.1633,115.7805,Non-Renewables,,
AUS,Australia,Kiata Wind Farm,31.05,-36.3966,141.7474,Wind,,
AUS,Australia,Kidston I,50,-18.89,144.14,Solar,,
AUS,Australia,King Island (Currie),8.55,-39.9388,143.892,Non-Renewables,,
AUS,Australia,Kogan Creek,744,-26.9177,150.7493,Non-Renewables,,
AUS,Australia,Koombooloomba,7.3,-17.8313,145.6034,Hydro,,
AUS,Australia,Kununurra,12.4,-15.7796,128.7395,Non-Renewables,,
AUS,Australia,Kwinana,21,-32.197,115.7759,Non-Renewables,,
AUS,Australia,Kwinana (Alcoa Refinery),74.5,-32.1946,115.7797,Non-Renewables,,
AUS,Australia,Kwinana Cogeneration,123,-32.2225,115.7661,Non-Renewables,,
AUS,Australia,Kwinana High Efficiency Gas Turbine Plant,200,-32.1973,115.7754,Non-Renewables,,
AUS,Australia,Kwinana NewGen,320,-32.202,115.7728,Non-Renewables,,
AUS,Australia,Kwinana Swift,120,-32.2243,115.7783,Non-Renewables,,
AUS,Australia,Ladbroke Grove,80,-37.4567,140.7827,Non-Renewables,,
AUS,Australia,Lake Bonney Stage 1 Wind Farm,80.5,-37.7815,140.4058,Wind,,
AUS,Australia,Lake Bonney Stage 2 Wind Farm,159,-37.8149,140.4195,Wind,,
AUS,Australia,Lake Bonney Stage 3 Wind Farm,39,-37.7505,140.393,Wind,,
AUS,Australia,Lake Cargelligo CSP,3,-33.311,146.4092,Solar,,
AUS,Australia,Lake Echo,32.4,-42.2537,146.6207,Hydro,,
AUS,Australia,Lake Glenmaggie,4,-37.9047,146.8011,Hydro,,
AUS,Australia,Lake Keepit,6.5,-30.8792,150.4914,Hydro,,
AUS,Australia,Lake William Hovell,2,-36.9129,146.3921,Hydro,,
AUS,Australia,Lakeland QLD,10.9,-15.869,144.862,Solar,,
AUS,Australia,Landfill Management Services Shoal Bay,1.1,-12.3892,130.9254,Waste,,
AUS,Australia,Laverton,1.5,-28.6216,122.3965,Non-Renewables,,
